"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Shohei Ohtani",LAD,"DH1","1","2","1.3","0.4","0"
"2","Aaron Judge",NYY,"OF1","1","2","1.5","0.5","0"
"3","Bobby Witt Jr.",KC,"SS1","3","4","3.1","0.3","0"
"4","Juan Soto",NYM,"OF2","3","5","3.9","0.3","0"
"5","Jose Ramirez",CLE,"3B1","4","10","5.9","0.9","0"
"6","Ronald Acuna Jr.",ATL,"OF3","5","16","7.5","1.0","+2"
"7","Corbin Carroll",ARI,"OF4","5","11","7.5","1.9","0"
"8","Julio Rodriguez",SEA,"OF5","7","11","8.9","1.4","+3"
"9","Tarik Skubal",DET,"SP1","5","21","9.3","2.8","-3"
"10","Elly De La Cruz",CIN,"SS2","6","18","9.5","2.1","-1"
"11","Paul Skenes",PIT,"SP2","7","19","11.5","1.7","-1"
"12","Fernando Tatis Jr.",SD,"OF6","10","21","12.9","2.6","+1"
"13","Garrett Crochet",BOS,"SP3","6","23","13.6","2.7","-1"
"14","Gunnar Henderson",BAL,"SS3","11","20","13.6","1.2","+4"
"15","Kyle Tucker",LAD,"OF7","6","24","14.8","2.8","+4"
"16","Francisco Lindor",NYM,"SS4","12","18","15.1","1.1","0"
"17","Junior Caminero",TB,"3B2","7","44","15.8","2.7","-3"
"18","Cal Raleigh",SEA,"C1","12","22","18.4","1.4","-3"
"19","Vladimir Guerrero Jr.",TOR,"1B1","15","24","19.3","2.4","+1"
"20","Jackson Chourio",MIL,"OF8","12","24","19.8","1.3","+2"
"21","Nick Kurtz",ATH,"1B2","17","27","19.8","1.9","-4"
"22","Kyle Schwarber",PHI,"DH2","15","24","20.8","1.9","-1"
"23","Jazz Chisholm Jr.",NYY,"2B1","13","24","21.9","2.1","0"
"24","Pete Alonso",BAL,"1B3","22","29","24.3","1.6","+1"
"25","Ketel Marte",ARI,"2B2","20","34","26.9","3.9","+3"
"26","Trea Turner",PHI,"SS5","21","42","27.5","4.6","+1"
"27","Yordan Alvarez",HOU,"OF9","24","40","29.6","3.6","+6"
"28","Cristopher Sanchez",PHI,"SP4","26","41","31.1","4.5","-2"
"29","Bryce Harper",PHI,"1B4","29","42","32.1","2.9","+14"
"30","Manny Machado",SD,"3B3","25","38","32.9","2.6","+4"
"31","Yoshinobu Yamamoto",LAD,"SP5","26","48","32.9","4.5","-7"
"32","Matt Olson",ATL,"1B5","25","48","33.1","4.5","+8"
"33","Rafael Devers",SF,"1B6","26","49","34.5","6.4","+12"
"34","Pete Crow-Armstrong",CHC,"OF10","25","57","34.6","7.6","-5"
"35","Hunter Brown",HOU,"SP6","30","60","35.5","4.3","-5"
"36","Chris Sale",ATL,"SP7","26","49","36.9","3.4","0"
"37","Zach Neto",LAA,"SS6","26","48","37.1","5.5","-6"
"38","Logan Gilbert",SEA,"SP8","29","44","37.9","3.4","-1"
"39","James Wood",WSH,"OF11","27","47","38.6","5.4","-7"
"40","Bryan Woo",SEA,"SP9","28","65","40.5","4.0","-5"
"41","Logan Webb",SF,"SP10","36","76","41.8","7.2","+6"
"42","Jacob deGrom",TEX,"SP11","35","74","42.1","5.9","-1"
"43","Mookie Betts",LAD,"SS7","33","53","42.3","3.0","+6"
"44","Cole Ragans",KC,"SP12","28","62","46.1","6.3","+12"
"45","Hunter Greene",CIN,"SP13","40","55","46.1","2.9","+1"
"46","Brent Rooker",ATH,"OF12","32","153","47.8","10.9","+2"
"47","Max Fried",NYY,"SP14","43","74","49.3","6.9","-3"
"48","Wyatt Langford",TEX,"OF13","30","72","50.1","7.5","+3"
"49","Roman Anthony",BOS,"OF14","29","74","51.4","7.9","+8"
"50","Josh Naylor",SEA,"1B7","38","66","54.3","5.1","+8"
"51","Riley Greene",DET,"OF15","42","71","54.9","6.0","+9"
"52","Freddie Freeman",LAD,"1B8","31","100","55.4","10.9","+1"
"53","Joe Ryan",MIN,"SP15","43","86","56.6","5.3","+11"
"54","Jarren Duran",BOS,"OF16","33","80","56.8","6.6","+15"
"55","Jackson Merrill",SD,"CF1","48","90","56.9","6.6","+19"
"56","Austin Riley",ATL,"3B4","49","97","57.4","9.2","+11"
"57","Brice Turang",MIL,"2B3","32","79","59.0","11.9","-2"
"58","Spencer Schwellenbach",ATL,"SP16","52","70","60.8","4.3","+23"
"59","William Contreras",MIL,"C2","46","77","61.5","3.9","-5"
"60","Freddy Peralta",MIL,"SP17","50","83","61.8","9.1","-1"
"61","George Kirby",SEA,"SP18","46","84","61.9","6.9","+7"
"62","Blake Snell",LAD,"SP19","49","102","61.9","12.6","+1"
"63","Cody Bellinger",FA,"OF17","55","87","62.9","5.1","+8"
"64","CJ Abrams",WSH,"SS8","48","83","66.0","7.7","-3"
"65","Dylan Cease",TOR,"SP20","53","100","66.3","13.7","+12"
"66","Mason Miller",SD,"RP1","34","151","66.6","19.2","-24"
"67","Geraldo Perdomo",ARI,"SS9","40","92","67.6","13.2","+3"
"68","Jesus Luzardo",PHI,"SP21","63","91","69.8","3.6","+12"
"69","Corey Seager",TEX,"SS10","57","81","70.8","4.6","+25"
"70","Edwin Diaz",LAD,"RP2","33","187","74.1","13.2","-32"
"71","Vinnie Pasquantino",KC,"1B9","39","86","74.6","5.1","+12"
"72","Bo Bichette",NYM,"SS11","51","117","74.9","10.6","+21"
"73","Shea Langeliers",ATH,"C3","54","119","75.4","13.0","-7"
"74","Kyle Bradish",BAL,"SP22","45","87","75.6","6.3","+11"
"75","Byron Buxton",MIN,"CF2","47","95","76.0","9.8","-3"
"76","George Springer",TOR,"OF18","57","105","76.1","6.8","+2"
"77","Ben Rice",NYY,"1B10","58","109","77.9","15.0","-15"
"78","Jeremy Pena",HOU,"SS12","67","102","78.9","6.2","+19"
"79","Framber Valdez",FA,"SP23","61","102","79.0","9.6","+7"
"80","Seiya Suzuki",CHC,"OF19","67","109","80.1","9.9","+7"
"81","Andres Munoz",SEA,"RP3","49","147","80.8","15.8","-42"
"82","Maikel Garcia",KC,"2B4","64","99","81.3","6.6","-7"
"83","Randy Arozarena",SEA,"OF20","61","95","82.6","4.9","+6"
"84","Nick Pivetta",SD,"SP24","71","100","83.3","9.4","0"
"85","Hunter Goodman",COL,"C4","52","238","84.1","14.2","-6"
"86","Jhoan Duran",PHI,"RP4","50","170","85.3","13.1","-34"
"87","Tyler Glasnow",LAD,"SP25","79","112","91.8","5.9","+22"
"88","Tyler Soderstrom",ATH,"1B11","68","113","92.5","6.4","+3"
"89","Michael Harris II",ATL,"OF21","66","105","92.6","6.5","+12"
"90","Alex Bregman",CHC,"3B5","58","138","94.3","13.0","+21"
"91","Oneil Cruz",PIT,"CF3","77","129","94.9","9.6","+8"
"92","Cade Smith",CLE,"RP5","51","189","95.3","17.7","-42"
"93","Nolan McLean",NYM,"SP26","79","130","97.9","13.1","+10"
"94","Kyle Stowers",MIA,"OF22","76","126","98.3","9.3","+32"
"95","Eury Perez",MIA,"SP27","72","157","98.9","12.0","+9"
"96","Kevin Gausman",TOR,"SP28","76","135","99.8","14.5","+14"
"97","Pablo Lopez",MIN,"SP29","76","156","100.4","26.0","+27"
"98","Nico Hoerner",CHC,"2B5","83","136","103.1","7.5","-10"
"99","Spencer Strider",ATL,"SP30","62","198","104.1","29.8","-3"
"100","Eugenio Suarez",FA,"3B6","59","131","104.9","3.3","+2"
"101","Michael Busch",CHC,"1B12","94","114","105.9","7.0","+13"
"102","Jose Altuve",HOU,"2B6","67","149","107.3","15.6","-2"
"103","Yandy Diaz",TB,"1B13","93","134","107.6","8.8","+9"
"104","Sonny Gray",BOS,"SP31","76","177","108.3","22.6","+9"
"105","Christian Yelich",MIL,"OF23","56","148","108.5","26.0","+2"
"106","Brandon Woodruff",MIL,"SP32","92","154","109.6","5.9","+14"
"107","Jordan Westburg",BAL,"2B7","79","142","112.0","13.7","+18"
"108","Teoscar Hernandez",LAD,"OF24","92","153","112.1","14.6","+13"
"109","Trevor Story",BOS,"SS13","78","161","112.6","19.9","-1"
"110","Agustin Ramirez",MIA,"C5","69","147","113.8","15.5","-20"
"111","Salvador Perez",KC,"C6","84","167","113.8","7.7","-16"
"112","Josh Hader",HOU,"RP6","63","212","114.6","31.4","-47"
"113","Willy Adames",SF,"SS14","90","163","115.4","19.2","+5"
"114","Trey Yesavage",TOR,"SP33","105","136","117.1","7.4","+24"
"115","Will Smith",LAD,"C7","101","137","118.6","10.4","-10"
"116","David Bednar",NYY,"RP7","72","202","118.8","30.6","-40"
"117","Sandy Alcantara",MIA,"SP34","85","204","122.1","27.2","+31"
"118","Luke Keaschall",MIN,"2B8","92","158","122.8","13.3","+23"
"119","Andy Pages",LAD,"OF25","114","146","124.3","7.6","+16"
"120","Jo Adell",LAA,"OF26","114","140","124.9","7.0","+11"
"121","Ozzie Albies",ATL,"2B9","117","157","125.4","5.2","+35"
"122","Lawrence Butler",ATH,"OF27","116","150","126.3","3.6","+20"
"123","Luis Castillo",SEA,"SP35","98","178","127.3","25.4","+31"
"124","Aroldis Chapman",BOS,"RP8","74","203","128.4","29.0","-51"
"125","Cam Schlittler",NYY,"SP36","91","134","128.6","4.6","+5"
"126","Drake Baldwin",ATL,"C8","108","157","129.4","12.0","-28"
"127","Robbie Ray",SF,"SP37","103","187","129.6","15.8","+37"
"128","Jacob Misiorowski",MIL,"SP38","93","153","130.1","12.5","+8"
"129","Shane Bieber",TOR,"SP39","97","169","130.4","24.3","+23"
"130","Brandon Nimmo",TEX,"OF28","94","158","130.8","20.1","-3"
"131","Nathan Eovaldi",TEX,"SP40","94","162","132.4","16.1","+1"
