1,Shohei Ohtani (Batter) LAD,UTIL
2,Aaron Judge NYY,OF
3,Bobby Witt Jr KC,SS
4,Juan Soto NYM,OF
5,José Ramírez CLE,3B
6,Vladimir Guerrero Jr TOR,"1B,3B"
7,Kyle Tucker CHC,OF
8,Mookie Betts LAD,"2B,SS,OF"
9,Yordan Alvarez HOU,OF
10,Corbin Carroll AZ,OF
11,Francisco Lindor NYM,SS
12,Gunnar Henderson BAL,SS
13,Freddie Freeman LAD,1B
14,Fernando Tatis Jr D,OF
15,Ronald Acuña Jr ATL,OF
16,Elly De La Cruz CIN,SS
17,Jarren Duran BOS,OF
18,Bryce Harper PHI,1B
19,Ketel Marte AZ,2B
20,Kyle Schwarber PHI,OF
21,Jackson Merrill SD,OF
22,Matt Olson ATL,1B
23,Jackson Chourio MIL,OF
24,Pete Alonso NYM,1B
25,Alex Bregman  BOS,3B
26,Julio Rodríguez  EA,OF
27,Austin Riley ATL,3B
28,Anthony Santander TOR,OF
29,Rafael Devers  BOS,3B
30,Trea Turner PHI,SS
31,Brent Rooker ATH,OF
32,Corey Seager TEX,SS
33,Wyatt Langford TEX,OF
34,Ozzie Albies ATL,2B
35,Marcell Ozuna ATL,OF
36,Steven Kwan CLE,OF
37,Ian Happ CHC,OF
38,Manny Machado D,3B
39,Vinnie Pasquantino KC,1B
40,Marcus Semien  TEX,2B
41,Jose Altuve HOU,2B
42,William Contreras MIL,C
43,Michael Harris II  ATL,OF
44,Josh Naylor AZ,1B
45,Jazz Chisholm Jr NYY,"3B,OF"
46,Teoscar Hernández LAD,OF
47,Christian Walker  HOU,1B
48,Yandy Díaz TB,1B
49,Bryan Reynolds PIT,OF
50,Matt Chapman F,3B
51,Luis Arraez SD,"1B,2B"
52,Cody Bellinger NYY,"1B,OF"
53,Lawrence Butler ATH,OF
54,Mike Trout LAA,OF
55,Randy Arozarena SEA,OF
56,Riley Greene DET,OF
57,Jurickson Profar ATL,OF
58,Taylor Ward LAA,OF
59,Seiya Suzuki CHC,OF
60,Oneil Cruz PIT,"SS,OF"
61,James Wood WSH,OF
62,Tarik Skubal DET,SP
63,Willy Adames F,SS
64,Adley Rutschman BAL,C
65,CJ Abrams  WSH,SS
66,Jung Hoo Lee SF,OF
67,Christian Yelich MIL,OF
68,George Springer TOR,OF
69,Nick Castellanos PHI,OF
70,Matt McLain CIN,"2B,SS"
71,Dansby Swanson CHC,SS
72,Gleyber Torres  DET,2B
73,Paul Skenes PIT,SP
74,Brenton Doyle COL,OF
75,Paul Goldschmidt NYY,1B
76,Zack Wheeler PHI,SP
77,JJ Bleday ATH,OF
78,Alec Bohm PHI,"1B,3B"
79,Andrés Giménez TOR,2B
80,Bryson Stott PHI,"2B,SS"
81,Nolan Arenado STL,3B
82,Masyn Winn  TL,SS
83,Xavier Edwards MIA,SS
84,Jonathan India KC,2B
