"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Shohei Ohtani",LAD,"DH1","1","2","1.3","0.4","0"
"2","Aaron Judge",NYY,"OF1","1","2","1.5","0.5","0"
"3","Bobby Witt Jr.",KC,"SS1","3","4","3.1","0.3","0"
"4","Mookie Betts",LAD,"SS2","4","8","5.2","0.8","1"
"5","Trea Turner",PHI,"SS3","3","9","5.8","1.2","-1"
"6","Elly De La Cruz",CIN,"SS4","4","10","6.3","1.4","0"
"7","Gunnar Henderson",BAL,"SS5","5","11","7.1","1.1","1"
"8","Corey Seager",TEX,"SS6","6","12","8.4","1.3","0"
"9","Juan Soto",NYM,"OF2","7","15","10.2","1.8","-2"
"10","Vladimir Guerrero Jr.",TOR,"1B1","8","16","11.5","1.6","1"

